1,192.168.0.1 ,(192.168.0.1),3.195 ms,3.836 ms,2.694 ms
2,ptld-dsl-gw51.ptld.qwest.net,(207.225.84.51),13.335 ms,64.944 ms,13.672 ms
3,ptld-agw1.inet.qwest.net ,(207.225.86.145),12.692 ms,13.835 ms,12.855 ms
4,4.68.38.153,(4.68.38.153),12.654 ms,13.989 ms,10.844 ms
5,*,*,*,,
6,4.53.154.10,(4.53.154.10),17.310 ms,16.708 ms,17.908 ms
7,104.16.50.14,(104.16.50.14),15.493 ms,15.440 ms,14.497 ms
